Sno,Date,Country/Region,Province/State,Confirmed,Region
529,31-03-2020,India,Unassigned,38,India
530,01-04-2020,India,Andhra Pradesh,83,India
531,01-04-2020,India,Andaman and Nicobar Islands,10,India
532,01-04-2020,India,Assam,1,India
533,01-04-2020,India,Bihar,23,India
534,01-04-2020,India,Chandigarh,16,India
535,01-04-2020,India,Chhattisgarh,9,India
536,01-04-2020,India,Delhi,152,India
537,01-04-2020,India,Goa,5,India
538,01-04-2020,India,Gujarat,82,India
539,01-04-2020,India,Haryana,43,India
540,01-04-2020,India,Himachal Pradesh,3,India
541,01-04-2020,India,Jammu and Kashmir,62,India
542,01-04-2020,India,Jharkhand,1,India
543,01-04-2020,India,Karnataka,101,India
544,01-04-2020,India,Kerala,241,India
545,01-04-2020,India,Ladakh,13,India
546,01-04-2020,India,Madhya Pradesh,66,India
547,01-04-2020,India,Maharashtra,302,India
548,01-04-2020,India,Manipur,1,India
549,01-04-2020,India,Mizoram,1,India
550,01-04-2020,India,Odisha,4,India
551,01-04-2020,India,Puducherry,3,India
552,01-04-2020,India,Punjab,42,India
553,01-04-2020,India,Rajasthan,93,India
554,01-04-2020,India,Tamil Nadu,234,India
555,01-04-2020,India,Telengana,96,India
556,01-04-2020,India,Uttarakhand,7,India
557,01-04-2020,India,Uttar Pradesh,103,India
558,01-04-2020,India,West Bengal,37,India
559,02-04-2020,India,Andhra Pradesh,86,India
560,02-04-2020,India,Andaman and Nicobar Islands,10,India
561,02-04-2020,India,Assam,5,India
562,02-04-2020,India,Bihar,24,India
563,02-04-2020,India,Chandigarh,16,India
564,02-04-2020,India,Chhattisgarh,9,India
565,02-04-2020,India,Delhi,219,India
566,02-04-2020,India,Goa,5,India
567,02-04-2020,India,Gujarat,87,India
568,02-04-2020,India,Haryana,43,India
569,02-04-2020,India,Himachal Pradesh,3,India
570,02-04-2020,India,Jammu and Kashmir,62,India
571,02-04-2020,India,Jharkhand,1,India
572,02-04-2020,India,Karnataka,110,India
573,02-04-2020,India,Kerala,265,India
574,02-04-2020,India,Ladakh,13,India
575,02-04-2020,India,Madhya Pradesh,99,India
576,02-04-2020,India,Maharashtra,335,India
577,02-04-2020,India,Manipur,1,India
578,02-04-2020,India,Mizoram,1,India
579,02-04-2020,India,Odisha,4,India
580,02-04-2020,India,Puducherry,3,India
581,02-04-2020,India,Punjab,46,India
582,02-04-2020,India,Rajasthan,108,India
583,02-04-2020,India,Tamil Nadu,234,India
584,02-04-2020,India,Telengana,107,India
585,02-04-2020,India,Uttarakhand,7,India
586,02-04-2020,India,Uttar Pradesh,113,India
587,02-04-2020,India,West Bengal,53,India
588,03-04-2020,India,Andhra Pradesh,132,India
589,03-04-2020,India,Andaman and Nicobar Islands,10,India
590,03-04-2020,India,Arunachal Pradesh,1,India
591,03-04-2020,India,Assam,16,India
592,03-04-2020,India,Bihar,29,India
593,03-04-2020,India,Chandigarh,18,India
594,03-04-2020,India,Chhattisgarh,9,India
595,03-04-2020,India,Delhi,219,India
596,03-04-2020,India,Goa,6,India
597,03-04-2020,India,Gujarat,95,India
598,03-04-2020,India,Haryana,49,India
599,03-04-2020,India,Himachal Pradesh,6,India
600,03-04-2020,India,Jammu and Kashmir,75,India
601,03-04-2020,India,Jharkhand,2,India
602,03-04-2020,India,Karnataka,124,India
603,03-04-2020,India,Kerala,286,India
604,03-04-2020,India,Ladakh,14,India
605,03-04-2020,India,Madhya Pradesh,104,India
606,03-04-2020,India,Maharashtra,335,India
607,03-04-2020,India,Manipur,2,India
608,03-04-2020,India,Mizoram,1,India
609,03-04-2020,India,Odisha,5,India
610,03-04-2020,India,Puducherry,5,India
611,03-04-2020,India,Punjab,48,India
612,03-04-2020,India,Rajasthan,167,India
613,03-04-2020,India,Tamil Nadu,309,India
614,03-04-2020,India,Telengana,158,India
615,03-04-2020,India,Uttarakhand,10,India
616,03-04-2020,India,Uttar Pradesh,172,India
617,03-04-2020,India,West Bengal,63,India
618,03-04-2020,India,Unassigned,77,India
619,04-04-2020,India,Andhra Pradesh,161,India
620,04-04-2020,India,Andaman and Nicobar Islands,10,India
621,04-04-2020,India,Arunachal Pradesh,1,India
622,04-04-2020,India,Assam,24,India
623,04-04-2020,India,Bihar,30,India
624,04-04-2020,India,Chandigarh,18,India
625,04-04-2020,India,Chhattisgarh,9,India
626,04-04-2020,India,Delhi,445,India
627,04-04-2020,India,Goa,7,India
628,04-04-2020,India,Gujarat,105,India
629,04-04-2020,India,Haryana,49,India
630,04-04-2020,India,Himachal Pradesh,6,India
631,04-04-2020,India,Jammu and Kashmir,75,India
632,04-04-2020,India,Jharkhand,2,India
633,04-04-2020,India,Karnataka,128,India
