Sno,Date,Country/Region,Province/State,Deaths,Region
394,27-03-2020,India,Andhra Pradesh,0,India
395,27-03-2020,India,Bihar,1,India
396,27-03-2020,India,Chandigarh,0,India
397,27-03-2020,India,Chhattisgarh,0,India
398,27-03-2020,India,Delhi,1,India
399,27-03-2020,India,Goa,0,India
400,27-03-2020,India,Gujarat,3,India
401,27-03-2020,India,Haryana,0,India
402,27-03-2020,India,Himachal Pradesh,1,India
403,27-03-2020,India,Jammu and Kashmir,1,India
404,27-03-2020,India,Karnataka,2,India
405,27-03-2020,India,Kerala,0,India
406,27-03-2020,India,Ladakh,0,India
407,27-03-2020,India,Madhya Pradesh,1,India
408,27-03-2020,India,Maharashtra,4,India
409,27-03-2020,India,Manipur,0,India
410,27-03-2020,India,Mizoram,0,India
411,27-03-2020,India,Odisha,0,India
412,27-03-2020,India,Puducherry,0,India
413,27-03-2020,India,Punjab,1,India
414,27-03-2020,India,Rajasthan,0,India
415,27-03-2020,India,Tamil Nadu,1,India
416,27-03-2020,India,Telengana,0,India
417,27-03-2020,India,Uttarakhand,0,India
418,27-03-2020,India,Uttar Pradesh,0,India
419,27-03-2020,India,West Bengal,1,India
420,28-03-2020,India,Andhra Pradesh,0,India
421,28-03-2020,India,Andaman and Nicobar Islands,0,India
422,28-03-2020,India,Bihar,1,India
423,28-03-2020,India,Chandigarh,0,India
424,28-03-2020,India,Chhattisgarh,0,India
425,28-03-2020,India,Delhi,1,India
426,28-03-2020,India,Goa,0,India
427,28-03-2020,India,Gujarat,3,India
428,28-03-2020,India,Haryana,0,India
429,28-03-2020,India,Himachal Pradesh,1,India
430,28-03-2020,India,Jammu and Kashmir,1,India
431,28-03-2020,India,Karnataka,2,India
432,28-03-2020,India,Kerala,0,India
433,28-03-2020,India,Ladakh,0,India
434,28-03-2020,India,Madhya Pradesh,2,India
435,28-03-2020,India,Maharashtra,5,India
436,28-03-2020,India,Manipur,0,India
437,28-03-2020,India,Mizoram,0,India
438,28-03-2020,India,Odisha,0,India
439,28-03-2020,India,Puducherry,0,India
440,28-03-2020,India,Punjab,1,India
441,28-03-2020,India,Rajasthan,0,India
442,28-03-2020,India,Tamil Nadu,1,India
443,28-03-2020,India,Telengana,0,India
444,28-03-2020,India,Uttarakhand,0,India
445,28-03-2020,India,Uttar Pradesh,0,India
446,28-03-2020,India,West Bengal,1,India
447,29-03-2020,India,Andhra Pradesh,0,India
448,29-03-2020,India,Andaman and Nicobar Islands,0,India
449,29-03-2020,India,Bihar,1,India
450,29-03-2020,India,Chandigarh,0,India
451,29-03-2020,India,Chhattisgarh,0,India
452,29-03-2020,India,Delhi,2,India
453,29-03-2020,India,Goa,0,India
454,29-03-2020,India,Gujarat,5,India
455,29-03-2020,India,Haryana,0,India
456,29-03-2020,India,Himachal Pradesh,1,India
457,29-03-2020,India,Jammu and Kashmir,2,India
458,29-03-2020,India,Karnataka,3,India
459,29-03-2020,India,Kerala,1,India
460,29-03-2020,India,Ladakh,0,India
461,29-03-2020,India,Madhya Pradesh,2,India
462,29-03-2020,India,Maharashtra,6,India
463,29-03-2020,India,Manipur,0,India
464,29-03-2020,India,Mizoram,0,India
465,29-03-2020,India,Odisha,0,India
466,29-03-2020,India,Puducherry,0,India
467,29-03-2020,India,Punjab,1,India
468,29-03-2020,India,Rajasthan,0,India
469,29-03-2020,India,Tamil Nadu,1,India
470,29-03-2020,India,Telengana,1,India
471,29-03-2020,India,Uttarakhand,0,India
472,29-03-2020,India,Uttar Pradesh,0,India
473,29-03-2020,India,West Bengal,1,India
474,30-03-2020,India,Andhra Pradesh,0,India
475,30-03-2020,India,Andaman and Nicobar Islands,0,India
476,30-03-2020,India,Bihar,1,India
477,30-03-2020,India,Chandigarh,0,India
478,30-03-2020,India,Chhattisgarh,0,India
479,30-03-2020,India,Delhi,2,India
480,30-03-2020,India,Goa,0,India
481,30-03-2020,India,Gujarat,6,India
482,30-03-2020,India,Haryana,0,India
483,30-03-2020,India,Himachal Pradesh,1,India
484,30-03-2020,India,Jammu and Kashmir,2,India
485,30-03-2020,India,Karnataka,3,India
486,30-03-2020,India,Kerala,1,India
487,30-03-2020,India,Ladakh,0,India
488,30-03-2020,India,Madhya Pradesh,3,India
489,30-03-2020,India,Maharashtra,8,India
490,30-03-2020,India,Manipur,0,India
491,30-03-2020,India,Mizoram,0,India
492,30-03-2020,India,Odisha,0,India
493,30-03-2020,India,Puducherry,0,India
494,30-03-2020,India,Punjab,1,India
495,30-03-2020,India,Rajasthan,0,India
496,30-03-2020,India,Tamil Nadu,1,India
497,30-03-2020,India,Telengana,1,India
498,30-03-2020,India,Uttarakhand,0,India
499,30-03-2020,India,Uttar Pradesh,0,India
500,30-03-2020,India,West Bengal,1,India
501,30-03-2020,India,Unassigned,0,India
502,31-03-2020,India,Andhra Pradesh,0,India
503,31-03-2020,India,Andaman and Nicobar Islands,0,India
504,31-03-2020,India,Bihar,1,India
505,31-03-2020,India,Chandigarh,0,India
506,31-03-2020,India,Chhattisgarh,0,India
507,31-03-2020,India,Delhi,2,India
508,31-03-2020,India,Goa,0,India
509,31-03-2020,India,Gujarat,6,India
510,31-03-2020,India,Haryana,0,India
511,31-03-2020,India,Himachal Pradesh,1,India
512,31-03-2020,India,Jammu and Kashmir,2,India
513,31-03-2020,India,Karnataka,3,India
514,31-03-2020,India,Kerala,1,India
515,31-03-2020,India,Ladakh,0,India
516,31-03-2020,India,Madhya Pradesh,3,India
517,31-03-2020,India,Maharashtra,9,India
518,31-03-2020,India,Manipur,0,India
519,31-03-2020,India,Mizoram,0,India
520,31-03-2020,India,Odisha,0,India
521,31-03-2020,India,Puducherry,0,India
522,31-03-2020,India,Punjab,3,India
523,31-03-2020,India,Rajasthan,0,India
524,31-03-2020,India,Tamil Nadu,1,India
525,31-03-2020,India,Telengana,1,India
526,31-03-2020,India,Uttarakhand,0,India
527,31-03-2020,India,Uttar Pradesh,0,India
528,31-03-2020,India,West Bengal,2,India
529,31-03-2020,India,Unassigned,0,India
530,01-04-2020,India,Andhra Pradesh,0,India
531,01-04-2020,India,Andaman and Nicobar Islands,0,India
532,01-04-2020,India,Assam,0,India
533,01-04-2020,India,Bihar,1,India
534,01-04-2020,India,Chandigarh,0,India
535,01-04-2020,India,Chhattisgarh,0,India
536,01-04-2020,India,Delhi,2,India
537,01-04-2020,India,Goa,0,India
538,01-04-2020,India,Gujarat,6,India
539,01-04-2020,India,Haryana,0,India
540,01-04-2020,India,Himachal Pradesh,1,India
541,01-04-2020,India,Jammu and Kashmir,2,India
542,01-04-2020,India,Jharkhand,0,India
543,01-04-2020,India,Karnataka,3,India
544,01-04-2020,India,Kerala,2,India
545,01-04-2020,India,Ladakh,0,India
546,01-04-2020,India,Madhya Pradesh,3,India
547,01-04-2020,India,Maharashtra,9,India
548,01-04-2020,India,Manipur,0,India
549,01-04-2020,India,Mizoram,0,India
550,01-04-2020,India,Odisha,0,India
551,01-04-2020,India,Puducherry,0,India
552,01-04-2020,India,Punjab,3,India
553,01-04-2020,India,Rajasthan,0,India
554,01-04-2020,India,Tamil Nadu,1,India
555,01-04-2020,India,Telengana,3,India
556,01-04-2020,India,Uttarakhand,0,India
557,01-04-2020,India,Uttar Pradesh,2,India
558,01-04-2020,India,West Bengal,3,India
559,02-04-2020,India,Andhra Pradesh,1,India
560,02-04-2020,India,Andaman and Nicobar Islands,0,India
561,02-04-2020,India,Assam,0,India
562,02-04-2020,India,Bihar,1,India
563,02-04-2020,India,Chandigarh,0,India
564,02-04-2020,India,Chhattisgarh,0,India
565,02-04-2020,India,Delhi,4,India
566,02-04-2020,India,Goa,0,India
567,02-04-2020,India,Gujarat,7,India
