Sno,Date,Country/Region,Province/State,Confirmed
667,05-04-2020,India,Maharashtra,490
668,05-04-2020,India,Manipur,2
669,05-04-2020,India,Mizoram,1
670,05-04-2020,India,Odisha,20
671,05-04-2020,India,Puducherry,5
672,05-04-2020,India,Punjab,57
673,05-04-2020,India,Rajasthan,200
674,05-04-2020,India,Tamil Nadu,485
675,05-04-2020,India,Telengana,269
676,05-04-2020,India,Uttarakhand,22
677,05-04-2020,India,Uttar Pradesh,227
678,05-04-2020,India,West Bengal,80
679,06-04-2020,India,Andhra Pradesh,226
680,06-04-2020,India,Andaman and Nicobar Islands,10
681,06-04-2020,India,Arunachal Pradesh,1
682,06-04-2020,India,Assam,26
683,06-04-2020,India,Bihar,32
684,06-04-2020,India,Chandigarh,18
685,06-04-2020,India,Chhattisgarh,10
686,06-04-2020,India,Delhi,523
687,06-04-2020,India,Goa,7
688,06-04-2020,India,Gujarat,144
689,06-04-2020,India,Haryana,84
690,06-04-2020,India,Himachal Pradesh,13
691,06-04-2020,India,Jammu and Kashmir,109
692,06-04-2020,India,Jharkhand,4
693,06-04-2020,India,Karnataka,151
694,06-04-2020,India,Kerala,314
695,06-04-2020,India,Ladakh,14
696,06-04-2020,India,Madhya Pradesh,165
697,06-04-2020,India,Maharashtra,748
